-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.648,0.051,-0.75,-0.452,-0.75,-0.75,-0.75,-0.701,-0.75,-0.75,-0.75
-0.696,-0.657,-0.716,-0.705,-0.712,-0.747,-0.556,-0.657,-0.75,0.138,-0.75,-0.372,-0.72,-0.737,-0.735,-0.65,-0.713,-0.73,-0.727
-0.643,-0.549,-0.681,-0.686,-0.68,-0.745,-0.325,-0.549,-0.725,0.138,-0.75,-0.312,-0.7,-0.711,-0.729,-0.64,-0.69,-0.708,-0.705
-0.589,-0.439,-0.648,-0.63,-0.659,-0.744,-0.207,-0.439,-0.636,0.167,-0.75,-0.285,-0.666,-0.699,-0.71,-0.584,-0.644,-0.681,-0.675
-0.536,-0.348,-0.579,-0.61,-0.608,-0.743,0.04,-0.348,-0.451,0.182,-0.75,-0.26,-0.632,-0.668,-0.685,-0.75,-0.611,-0.653,-0.654
-0.482,-0.393,-0.532,-0.596,-0.6,-0.741,-0.298,-0.393,-0.343,-0.211,-0.267,-0.164,-0.621,-0.657,-0.642,-0.639,-0.563,-0.623,-0.624
-0.429,-0.358,-0.436,-0.541,-0.56,-0.737,-0.169,-0.358,-0.222,-0.036,-0.731,-0.159,-0.546,-0.621,-0.619,-0.551,-0.503,-0.597,-0.594
-0.375,-0.307,-0.407,-0.59,-0.556,-0.732,0.019,-0.307,-0.191,0.109,-0.73,-0.133,-0.543,-0.61,-0.595,-0.604,-0.475,-0.567,-0.568
-0.321,-0.252,-0.415,-0.596,-0.543,-0.727,0.207,-0.252,-0.114,-0.255,-0.659,-0.108,-0.522,-0.565,-0.572,-0.57,-0.438,-0.539,-0.518
-0.268,-0.19,-0.402,-0.067,-0.485,-0.722,0.293,-0.19,-0.159,-0.138,-0.668,-0.087,-0.445,-0.538,-0.555,-0.49,-0.391,-0.497,-0.47
-0.214,-0.067,-0.526,-0.399,-0.366,-0.717,0.659,-0.067,-0.216,-0.109,-0.612,-0.035,-0.402,-0.518,-0.527,-0.492,-0.382,-0.459,-0.444
-0.161,-0.019,-0.478,-0.314,-0.239,-0.402,0.53,-0.019,-0.21,0.473,-0.36,-0.002,-0.283,-0.482,-0.518,-0.342,-0.318,-0.368,-0.363
-0.107,-0.081,-0.354,-0.254,-0.177,-0.371,0.347,-0.081,0.102,0.459,-0.095,0.144,-0.115,-0.463,-0.494,-0.323,-0.204,-0.291,-0.282
-0.054,-0.027,-0.416,-0.241,-0.097,-0.303,-0.008,-0.027,0.254,0.59,-0.031,0.173,-0.105,-0.392,-0.474,-0.283,-0.076,-0.225,-0.209
0,0.08,-0.491,-0.271,-0.172,-0.244,0.056,0.08,0.064,-0.459,-0.271,0.101,-0.211,-0.343,-0.435,-0.301,-0.05,-0.201,-0.189
0.054,0.229,-0.439,-0.18,-0.049,-0.239,0.212,0.229,0.127,-0.4,0.067,0.179,-0.139,-0.272,-0.385,-0.299,-0.036,-0.155,-0.148
0.107,0.187,-0.362,-0.103,0.059,-0.204,0.239,0.187,0.191,0.124,0.059,0.215,-0.077,-0.235,-0.305,-0.237,-0.001,-0.096,-0.09
0.161,0.285,-0.346,-0.029,0.13,-0.163,0.341,0.285,0.254,-0.255,0.493,0.216,-0.045,-0.3,-0.253,-0.2,0.029,-0.042,-0.04
0.214,0.475,-0.349,0.019,0.126,-0.121,0.39,0.475,0.4,-0.313,0.058,0.25,-0.118,-0.221,-0.189,-0.218,0.078,0.027,0.026
0.268,0.532,-0.334,0.077,0.201,-0.072,0.352,0.532,0.528,-0.357,0.353,0.306,-0.046,-0.134,-0.118,-0.197,0.11,0.099,0.084
0.321,0.646,-0.309,0.109,0.182,0.002,0.433,0.646,0.528,-0.633,-0.05,0.445,0.066,-0.046,-0.026,-0.189,0.138,0.246,0.138
0.375,0.6,-0.258,0.125,0.211,0.07,0.223,0.6,0.547,-0.677,0.177,0.597,0.174,0.014,0.087,-0.117,0.172,0.238,0.206
0.429,0.675,-0.314,0.162,0.234,0.136,0.191,0.675,0.534,-0.284,0.436,0.679,0.258,0.108,0.182,-0.085,0.181,0.309,0.269
0.482,0.635,-0.353,0.176,0.277,0.222,0.099,0.635,0.597,-0.357,0.328,0.75,0.331,0.142,0.284,-0.161,0.237,0.384,0.338
0.536,0.727,-0.341,0.167,0.31,0.284,0.078,0.727,0.693,-0.75,0.399,0.73,0.313,0.454,0.375,-0.085,0.215,0.425,0.368
0.589,0.461,-0.337,-0.088,0.036,0.416,0.75,0.461,0.75,-0.459,0.024,-0.591,-0.555,0.573,0.461,-0.078,0.041,0.273,0.208
0.643,-0.014,-0.306,0.084,0.267,0.638,0.546,-0.014,0.636,-0.24,0.048,-0.75,-0.596,0.424,0.568,0.046,0.226,0.33,0.284
0.696,0.368,0.178,0.595,0.745,0.673,0.266,0.368,0.528,0.75,0.395,0.255,0.346,0.552,0.652,0.382,0.458,0.545,0.517
0.75,0.75,0.75,0.75,0.75,0.75,-0.035,0.75,0.426,0.197,0.75,0.622,0.75,0.75,0.75,0.75,0.75,0.75,0.75
